frame,time_s,protocol,info,wpan_cmd,wpan_src64,wpan_dst64,wpan_src16,wpan_dst16,wpan_association_short,nwk_src,nwk_dst,nwk_src64,nwk_dst64,nwk_security,security_key_id,security_src64,decryption_key_label,aps_type,aps_src_ep,aps_dst_ep,aps_cluster,aps_profile,aps_cmd_id,aps_cmd_key_type,aps_cmd_device,zcl_mfg_code,zcl_tsn,zcl_cmd_id,zcl_rsp_to_cmd,zcl_attr_id,zcl_attr_status,zcl_attr_type,zcl_attr_uint8,zcl_attr_uint16,zcl_attr_uint24,zcl_attr_uint32,zcl_attr_bitmap8,zcl_attr_bitmap16,zcl_attr_bitmap32,zcl_attr_str,zcl_attr_ostr,zcl_attr_bytes
41,3.705513000,,,0x04,,,0x2511,0x09de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,3.706054000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,3.791609000,,,,,,0xd52f,0xffff,,0x0001,0xfffc,,,True,0x01,00:17:88:01:08:32:bb:4f,HUE_ZIGBEE_NWK_KEY,0x00,0,0,,0x0000,,,,,,,,,,,,,,,,,,,,
44,3.809443000,,,,,,0x51db,0xffff,,0x0001,0xfffc,,,True,0x01,00:17:88:01:0e:10:a0:16,HUE_ZIGBEE_NWK_KEY,0x00,0,0,,0x0000,,,,,,,,,,,,,,,,,,,,
45,4.049359000,,,,,,0x4d3c,0xffff,,0x4d3c,0xfffc,00:17:88:01:08:ac:21:9b,,True,0x01,00:17:88:01:08:ac:21:9b,HUE_ZIGBEE_NWK_KEY,,,,,,,,,,,,,,,,,,,,,,,,,
46,4.255467000,,,,,,0x0003,0xffff,,0x0003,0xfffc,00:17:88:01:0b:b1:f1:14,,True,0x01,00:17:88:01:0b:b1:f1:14,HUE_ZIGBEE_NWK_KEY,,,,,,,,,,,,,,,,,,,,,,,,,
47,4.262214000,,,,,,0xd52f,0xffff,,0x0001,0xfffc,,,True,0x01,00:17:88:01:08:32:bb:4f,HUE_ZIGBEE_NWK_KEY,0x00,0,0,,0x0000,,,,,,,,,,,,,,,,,,,,
48,4.291413000,,,,,,0x51db,0xffff,,0x0001,0xfffc,,,True,0x01,00:17:88:01:0e:10:a0:16,HUE_ZIGBEE_NWK_KEY,0x00,0,0,,0x0000,,,,,,,,,,,,,,,,,,,,
49,4.391612000,,,,,,0x975c,0xffff,,0x975c,0xfffc,00:17:88:01:0d:23:92:b1,,True,0x01,00:17:88:01:0d:23:92:b1,HUE_ZIGBEE_NWK_KEY,,,,,,,,,,,,,,,,,,,,,,,,,
50,4.569087000,,,,,,0x37ca,0xffff,,0x37ca,0xfffc,00:17:88:01:0d:93:d6:1b,,True,0x01,00:17:88:01:0d:93:d6:1b,HUE_ZIGBEE_NWK_KEY,,,,,,,,,,,,,,,,,,,,,,,,,
51,4.743107000,,,,,,0x5ab9,0xffff,,0x5ab9,0xfffc,00:17:88:01:0d:40:7d:92,,True,0x01,00:17:88:01:0d:40:7d:92,HUE_ZIGBEE_NWK_KEY,,,,,,,,,,,,,,,,,,,,,,,,,
52,5.307895000,,,,,,0x51db,0xffff,,0x51db,0xfffc,00:17:88:01:0e:10:a0:16,,True,0x01,00:17:88:01:0e:10:a0:16,HUE_ZIGBEE_NWK_KEY,,,,,,,,,,,,,,,,,,,,,,,,,
53,5.346688000,,,,,,0x9a1a,0xffff,,0x9a1a,0xfffc,00:17:88:01:08:32:cb:1f,,True,0x01,00:17:88:01:08:32:cb:1f,HUE_ZIGBEE_NWK_KEY,,,,,,,,,,,,,,,,,,,,,,,,,
54,5.460039000,,,0x04,,,0xda27,0x9a1a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,5.460581000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
