index,ts_us,length,channel,rssi,lqi,frame_type,seq,security,ack_request,pan_compression,dest_pan,dest_addr,src_pan,src_addr,payload_len,markers,parse_note
5288,105986680,3,25,-85,8,ack,181,False,False,False,,,,,0,,
5289,106045650,114,25,-87,9,data,237,False,True,True,0xfb2f,0x30ae,0xfb2f,0xed3c,105,signify_oui_reversed,
5290,106046192,3,25,-100,7,ack,237,False,False,False,,,,,0,,
5291,106054616,114,25,-100,5,data,217,False,True,True,0xfb2f,0x0001,0xfb2f,0x30ae,105,signify_oui_reversed,
5292,106055159,3,25,-102,4,ack,217,False,False,False,,,,,0,,
5293,106077096,45,25,-98,6,data,98,False,True,True,0xfb2f,0x37ca,0xfb2f,0x0001,36,signify_oui_reversed,
5294,106077637,3,25,-100,7,ack,98,False,False,False,,,,,0,,
5295,106082874,45,25,-102,7,data,182,False,True,True,0xfb2f,0xed3c,0xfb2f,0x37ca,36,signify_oui_reversed,
5296,106083415,3,25,-88,9,ack,182,False,False,False,,,,,0,,
5297,106142078,92,25,-86,10,data,238,False,True,True,0xfb2f,0x30ae,0xfb2f,0xed3c,83,signify_oui_reversed,
5298,106142619,3,25,-104,1,ack,238,False,False,False,,,,,0,,
5299,106151268,92,25,-102,7,data,218,False,True,True,0xfb2f,0x0001,0xfb2f,0x30ae,83,signify_oui_reversed,
5300,106151810,3,25,-104,5,ack,218,False,False,False,,,,,0,,
5301,106178667,45,25,-106,4,data,182,False,True,True,0xfb2f,0x14c5,0xfb2f,0x9e24,36,signify_oui_reversed,
5302,106179208,3,25,-92,9,ack,182,False,False,False,,,,,0,,
5303,106239370,114,25,-92,10,data,209,False,True,True,0xfb2f,0x9e24,0xfb2f,0x14c5,105,signify_oui_reversed,
5304,106249049,3,25,-99,5,ack,184,False,False,False,,,,,0,,
5305,106273892,45,25,-102,2,data,100,False,True,True,0xfb2f,0x9e24,0xfb2f,0x0001,36,signify_oui_reversed,
5306,106280747,3,25,-93,9,ack,185,False,False,False,,,,,0,,
