frame,time_s,protocol,info,wpan_cmd,wpan_src64,wpan_dst64,wpan_src16,wpan_dst16,wpan_association_short,nwk_src,nwk_dst,nwk_src64,nwk_dst64,nwk_security,security_key_id,security_src64,decryption_key_label,aps_type,aps_src_ep,aps_dst_ep,aps_cluster,aps_profile,aps_cmd_id,aps_cmd_key_type,aps_cmd_device,zcl_mfg_code,zcl_tsn,zcl_cmd_id,zcl_rsp_to_cmd,zcl_attr_id,zcl_attr_status,zcl_attr_type,zcl_attr_uint8,zcl_attr_uint16,zcl_attr_uint24,zcl_attr_uint32,zcl_attr_bitmap8,zcl_attr_bitmap16,zcl_attr_bitmap32,zcl_attr_str,zcl_attr_ostr,zcl_attr_bytes
2600,99.432349000,,,,,,0x0001,0xaed9,,0x0001,0xeffd,,,True,0x01,00:17:88:01:05:4f:59:f4,,0x00,0,0,,0x0000,,,,,,,,,,,,,,,,,,,,
2601,99.500012000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2602,99.508321000,,,,,,0xdc3f,0x0001,,0xeffd,0x0001,,,True,0x01,00:17:88:01:0d:93:d6:56,,0x00,0,0,,0x0000,,,,,,,,,,,,,,,,,,,,
2603,99.508865000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2604,99.531754000,,,,,,0x0001,0xaed9,,0x0001,0xeffd,,,True,0x01,00:17:88:01:05:4f:59:f4,,0x00,0,0,,0x0000,,,,,,,,,,,,,,,,,,,,
2605,99.563020000,,,,,,0x0001,0x3291,,0x0001,0xfbb6,,,True,0x01,00:17:88:01:05:4f:59:f4,,0x00,64,11,0x0000,0x0104,,,,0x100b,168,0x00,,"0x0021,0x0020",,,,,,,,,,,,
2606,99.574770000,,,,,,0x0001,0x3291,,0x0001,0xfbb6,,,True,0x01,00:17:88:01:05:4f:59:f4,,0x00,64,11,0x0000,0x0104,,,,0x100b,168,0x00,,"0x0021,0x0020",,,,,,,,,,,,
2607,99.575311000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2608,99.580775000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2609,99.597766000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2610,99.607601000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2611,99.628164000,,,,,,0x0001,0xaed9,,0x0001,0xeffd,,,True,0x01,00:17:88:01:05:4f:59:f4,,0x00,0,0,,0x0000,,,,,,,,,,,,,,,,,,,,
2612,99.638720000,,,,,,0xfbb6,0x9e24,,0xfbb6,0x0001,,,True,0x01,00:17:88:01:0d:40:71:11,,0x00,11,64,0x0000,0x0104,,,,0x100b,168,0x01,,"0x0021,0x0020","0x00,0x00","0x23,0x42",,,,1405927,,,,0:PWRON@1,,
2613,99.639262000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2614,99.646052000,,,,,,0x9e24,0x0001,,0xfbb6,0x0001,,,True,0x01,00:17:88:01:0d:92:f4:d6,,0x00,11,64,0x0000,0x0104,,,,0x100b,168,0x01,,"0x0021,0x0020","0x00,0x00","0x23,0x42",,,,1405927,,,,0:PWRON@1,,
2615,99.646596000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2616,99.704097000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2617,99.726043000,,,,,,0x0001,0xaed9,,0x0001,0xeffd,,,True,0x01,00:17:88:01:05:4f:59:f4,,0x00,0,0,,0x0000,,,,,,,,,,,,,,,,,,,,
2618,99.803367000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2619,99.900271000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2620,99.925970000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2621,99.992266000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2622,100.000795000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2623,100.021891000,,,,,,0x0001,0xaed9,,0x0001,0xeffd,,,True,0x01,00:17:88:01:05:4f:59:f4,,0x00,0,0,,0x0000,,,,,,,,,,,,,,,,,,,,
2624,100.090389000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2625,100.097925000,,,,,,0xdc3f,0x0001,,0xeffd,0x0001,,,True,0x01,00:17:88:01:0d:93:d6:56,,0x00,0,0,,0x0000,,,,,,,,,,,,,,,,,,,,
2626,100.098469000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2627,100.120820000,,,,,,0x0001,0xaed9,,0x0001,0xeffd,,,True,0x01,00:17:88:01:05:4f:59:f4,,0x00,0,0,,0x0000,,,,,,,,,,,,,,,,,,,,
